Sujet;Sujet_name;;Cible;Cible_name;Material;Material_name;Slope;Slope_name;Trial;Trial_name;Trials_All;Duration;Amplitude;Impact_Speed;Spatial_Error
10;sujet10;A;1;25;2;balsa;3;p10;3;3;53;0.12;141.2886115;2.623282739;-26.09243585
10;sujet10;A;1;25;2;balsa;3;p10;4;4;54;0.084;121.1350146;2.862239023;-21.02209051
10;sujet10;A;1;25;2;balsa;3;p10;5;5;55;0.112;133.9728125;2.805359822;8.883994391
10;sujet10;A;1;25;2;balsa;3;p10;6;6;56;0.136;154.8456321;2.679515837;7.900470375
10;sujet10;A;1;25;2;balsa;3;p10;7;7;57;0.132;137.1633592;2.938090879;-2.032012466
10;sujet10;A;1;25;2;balsa;3;p10;8;8;58;0.112;137.2543156;3.215607356;26.83696532
10;sujet10;A;1;25;2;balsa;3;p10;9;9;59;0.108;118.0712881;2.556477838;-34.56838001
10;sujet10;A;1;25;2;balsa;3;p10;10;10;60;0.12;123.10649;2.735326485;25.33164682
10;sujet10;A;2;50;1;alu;1;m10;1;1;61;0.1;94.43655365;2.191811549;48.25037419
10;sujet10;A;2;50;1;alu;1;m10;2;2;62;0.12;111.6393687;2.099669347;-12.30650309
10;sujet10;A;2;50;1;alu;1;m10;3;3;63;0.12;118.2362161;2.100259795;-24.55407526
10;sujet10;A;2;50;1;alu;1;m10;4;4;64;0.156;160.193408;1.993821035;-6.520579473
10;sujet10;A;2;50;1;alu;1;m10;5;5;65;0.144;120.7869566;2.32702995;-4.217801801
10;sujet10;A;2;50;1;alu;1;m10;6;6;66;0.14;127.2489403;2.465925259;32.22127541
10;sujet10;A;2;50;1;alu;1;m10;7;7;67;0.124;112.7937467;2.264384019;-18.49830911
10;sujet10;A;2;50;1;alu;1;m10;8;8;68;0.14;141.8411849;2.603250832;19.96409055
10;sujet10;A;2;50;1;alu;1;m10;9;9;69;0.104;122.4785244;2.372855311;3.370540244
10;sujet10;A;2;50;1;alu;1;m10;10;10;70;0.12;138.7006042;2.199914292;2.374588588
10;sujet10;A;2;50;1;alu;2;0;1;1;71;0.088;108.3230071;2.863761421;-20.73741253
10;sujet10;A;2;50;1;alu;2;0;2;2;72;0.116;140.9261336;2.986423798;46.59446931
10;sujet10;A;2;50;1;alu;2;0;3;3;73;0.116;145.3658616;2.817206583;-12.26485099
10;sujet10;A;2;50;1;alu;2;0;4;4;74;0.112;142.1849503;2.866790266;-14.78226478
10;sujet10;A;2;50;1;alu;2;0;5;5;75;0.124;156.2194328;3.017427297;-2.802390658
10;sujet10;A;2;50;1;alu;2;0;6;6;76;0.112;139.2644616;2.973398489;4.588960021
10;sujet10;A;2;50;1;alu;2;0;7;7;77;0.14;156.4101502;3.171082117;6.233525312
10;sujet10;A;2;50;1;alu;2;0;8;8;78;0.124;143.0810831;2.912650273;-22.15357112
10;sujet10;A;2;50;1;alu;2;0;9;9;79;0.116;116.1861622;2.746489284;-42.42218824
10;sujet10;A;2;50;1;alu;2;0;10;10;80;0.112;113.7368523;2.760407918;-21.94759151
10;sujet10;A;2;50;1;alu;3;p10;1;1;81;0.092;118.2628568;2.811472645;-39.4292514
10;sujet10;A;2;50;1;alu;3;p10;2;2;82;0.108;124.2790058;3.267418413;-31.88454548
10;sujet10;A;2;50;1;alu;3;p10;3;3;83;0.092;171.2292702;3.719986571;18.00276145
10;sujet10;A;2;50;1;alu;3;p10;4;4;84;0.116;172.9097946;3.605068316;-18.27354445
10;sujet10;A;2;50;1;alu;3;p10;5;5;85;0.116;172.7887939;3.745188258;8.376126834
10;sujet10;A;2;50;1;alu;3;p10;6;6;86;0.116;149.6670705;3.4994102;-22.21965822
10;sujet10;A;2;50;1;alu;3;p10;7;7;87;0.116;165.0779691;3.774264341;-29.54981682
10;sujet10;A;2;50;1;alu;3;p10;8;8;88;0.096;135.9915369;2.995294032;-15.60990543
10;sujet10;A;2;50;1;alu;3;p10;9;9;89;0.116;160.1945085;3.404612772;-2.542917704
10;sujet10;A;2;50;1;alu;3;p10;10;10;90;0.096;119.600559;3.245153852;-17.02302681
10;sujet10;A;2;50;2;balsa;1;m10;1;1;91;0.116;136.4361972;2.451045163;-28.15457985
10;sujet10;A;2;50;2;balsa;1;m10;2;2;92;0.144;154.8086881;2.405762421;-2.262924699
10;sujet10;A;2;50;2;balsa;1;m10;3;3;93;0.152;159.4794395;2.37723889;-14.67681598
10;sujet10;A;2;50;2;balsa;1;m10;4;4;94;0.148;139.4998664;2.113205036;-9.192621633
10;sujet10;A;2;50;2;balsa;1;m10;5;5;95;0.12;137.2675373;2.294329154;-0.464285836
10;sujet10;A;2;50;2;balsa;1;m10;6;6;96;0.116;105.4409578;2.12863143;-8.720275984
10;sujet10;A;2;50;2;balsa;1;m10;7;7;97;0.132;112.7464627;2.424811302;9.282669928
10;sujet10;A;2;50;2;balsa;1;m10;8;8;98;0.156;126.6507617;1.894154186;-10.01085418
10;sujet10;A;2;50;2;balsa;1;m10;9;9;99;0.12;109.0300004;2.30957672;15.41975264
10;sujet10;A;2;50;2;balsa;1;m10;10;10;100;0.14;131.1070825;2.461537909;2.972977622
10;sujet10;A;2;50;2;balsa;2;0;1;1;101;0.132;132.9654779;2.711396977;-39.64099357
10;sujet10;A;2;50;2;balsa;2;0;2;2;102;0.108;137.9892226;2.66615225;-16.61291409
10;sujet10;A;2;50;2;balsa;2;0;3;3;103;0.12;148.4329346;3.23028879;0.76727687
10;sujet10;A;2;50;2;balsa;2;0;4;4;104;0.104;132.4322593;2.98698052;-9.81741881
10;sujet10;A;2;50;2;balsa;2;0;5;5;105;0.104;134.4795399;2.946335981;-7.175487192
10;sujet10;A;2;50;2;balsa;2;0;6;6;106;0.124;141.4824765;3.015400523;5.174402123
10;sujet10;A;2;50;2;balsa;2;0;7;7;107;0.104;124.8716326;2.918662293;2.837431273
10;sujet10;A;2;50;2;balsa;2;0;8;8;108;0.088;116.2024852;2.872323548;-7.901826165
10;sujet10;A;2;50;2;balsa;2;0;9;9;109;0.108;125.4531432;2.894118843;0.782717487
10;sujet10;A;2;50;2;balsa;2;0;10;10;110;0.104;112.0880739;2.6019845;-21.04656306
10;sujet10;A;2;50;2;balsa;3;p10;1;1;111;0.104;113.9624185;3.005190859;-19.9131936
10;sujet10;A;2;50;2;balsa;3;p10;2;2;112;0.12;159.1532096;3.496715191;-7.724809916
10;sujet10;A;2;50;2;balsa;3;p10;3;3;113;0.092;107.287806;2.906376446;-16.13187918
10;sujet10;A;2;50;2;balsa;3;p10;4;4;114;0.112;138.0598583;2.998976724;-7.842690458
10;sujet10;A;2;50;2;balsa;3;p10;5;5;115;0.104;159.1185317;3.461095526;-11.19738255
10;sujet10;A;2;50;2;balsa;3;p10;6;6;116;0.116;131.1721553;2.839849622;-10.99271356
10;sujet10;A;2;50;2;balsa;3;p10;7;7;117;0.112;120.1106816;2.852619609;-33.4364089
10;sujet10;A;2;50;2;balsa;3;p10;8;8;118;0.128;178.0787512;3.393738978;-6.893251545
10;sujet10;A;2;50;2;balsa;3;p10;9;9;119;0.128;169.5460928;3.377825131;-22.29154677
10;sujet10;A;2;50;2;balsa;3;p10;10;10;120;0.128;166.0509925;3.371111019;-8.634428031
11;sujet11;C;1;25;1;alu;1;m10;1;1;1;0.116;78.02746978;2.065121095;-34.87341413
11;sujet11;C;1;25;1;alu;1;m10;2;2;2;0.092;82.40137175;2.243819093;-7.820968867
11;sujet11;C;1;25;1;alu;1;m10;3;3;3;0.08;78.71819193;2.170759936;5.941850753
11;sujet11;C;1;25;1;alu;1;m10;4;4;4;0.084;74.56289756;2.237935362;-3.999772269
11;sujet11;C;1;25;1;alu;1;m10;5;5;5;0.092;84.84043157;2.356001117;-18.47873357
11;sujet11;C;1;25;1;alu;1;m10;6;6;6;0.088;90.09289456;2.262116599;-1.154909355
11;sujet11;C;1;25;1;alu;1;m10;7;7;7;0.084;88.12323586;2.2842655;10.94337646
11;sujet11;C;1;25;1;alu;1;m10;8;8;8;0.088;78.16692788;1.790489827;-27.97964073
11;sujet11;C;1;25;1;alu;1;m10;9;9;9;0.092;81.97394035;2.142887031;2.380660057
11;sujet11;C;1;25;1;alu;1;m10;10;10;10;0.084;95.2104797;2.607141991;-14.18257298
11;sujet11;C;1;25;1;alu;2;0;1;1;11;0.12;87.59959051;1.406868952;-44.81264497
11;sujet11;C;1;25;1;alu;2;0;2;2;12;0.096;102.7978085;2.311992114;9.82382578
11;sujet11;C;1;25;1;alu;2;0;3;3;13;0.108;110.1543886;2.178684921;-19.74206153
11;sujet11;C;1;25;1;alu;2;0;4;4;14;0.112;111.7550283;2.033671394;9.118358416
11;sujet11;C;1;25;1;alu;2;0;5;5;15;0.124;123.4261312;2.389174377;-18.56156186
11;sujet11;C;1;25;1;alu;2;0;6;6;16;0.116;130.0270676;2.83431056;63.51510335
11;sujet11;C;1;25;1;alu;2;0;7;7;17;0.104;100.9519644;1.948548211;-5.744487059
11;sujet11;C;1;25;1;alu;2;0;8;8;18;0.12;91.38515516;2.031487236;-22.96142562
11;sujet11;C;1;25;1;alu;2;0;9;9;19;0.116;101.9976176;2.517007092;36.81000131
11;sujet11;C;1;25;1;alu;2;0;10;10;20;0.084;72.70870677;1.795993774;-18.71853253
11;sujet11;C;1;25;1;alu;3;p10;1;1;21;0.132;108.1551299;1.751227339;-20.88603967
11;sujet11;C;1;25;1;alu;3;p10;2;2;22;0.12;98.51351359;1.962710369;-7.892839732
11;sujet11;C;1;25;1;alu;3;p10;3;3;23;0.1;92.86509363;1.855569072;-11.82794628
11;sujet11;C;1;25;1;alu;3;p10;4;4;24;0.096;97.68259772;2.235465765;59.02429688
11;sujet11;C;1;25;1;alu;3;p10;5;5;25;0.088;65.77768084;1.679814644;-12.02792923
11;sujet11;C;1;25;1;alu;3;p10;6;6;26;0.088;73.07651315;1.571873339;-11.84107227
11;sujet11;C;1;25;1;alu;3;p10;7;7;27;0.116;89.38832749;1.700274547;-10.73549199
11;sujet11;C;1;25;1;alu;3;p10;8;8;28;0.108;96.43481954;2.086857751;87.93522974
11;sujet11;C;1;25;1;alu;3;p10;9;9;29;0.08;41.48368279;1.312003565;-5.656695971
11;sujet11;C;1;25;1;alu;3;p10;10;10;30;0.112;63.90025382;1.525348092;-10.11334785
11;sujet11;C;1;25;2;balsa;1;m10;1;1;31;0.204;123.5600007;2.103803279;-51.35891936
11;sujet11;C;1;25;2;balsa;1;m10;2;2;32;0.092;116.0675071;2.768033318;-0.807562321
11;sujet11;C;1;25;2;balsa;1;m10;3;3;33;0.1;120.8800073;2.619245182;-22.86702335
11;sujet11;C;1;25;2;balsa;1;m10;4;4;34;0.08;113.189142;2.999946794;-10.23863671
11;sujet11;C;1;25;2;balsa;1;m10;5;5;35;0.096;121.3224729;3.033888887;21.32755386
11;sujet11;C;1;25;2;balsa;1;m10;6;6;36;0.084;93.41458363;2.617990243;-20.55038146
11;sujet11;C;1;25;2;balsa;1;m10;7;7;37;0.088;109.5160953;2.636437393;-18.51146828
11;sujet11;C;1;25;2;balsa;1;m10;8;8;38;0.092;119.8016632;2.95429935;18.55850183
11;sujet11;C;1;25;2;balsa;1;m10;9;9;39;0.096;100.7573576;2.913324161;-1.028466556
