Sujet;ST_M;Target;Material;Slope;Trial;Duration;Amplitude;Impact_Speed
13;N;25;alu;0;1;0,068;162,3408508;2,88427397
13;N;25;alu;0;2;0,128;237,2769082;3,45773176
13;N;25;alu;0;3;0,192;214,8129029;2,831279802
13;N;25;alu;0;4;0,136;247,3537736;3,755115045
13;N;25;alu;0;5;0,112;195,0377791;2,837686831
13;N;25;alu;0;6;0,16;212,5880126;3,267854285
13;N;25;alu;0;7;0,148;207,5204248;3,010364269
13;N;25;alu;0;8;0,136;189,3093443;2,303195711
13;N;25;alu;0;9;0,148;235,5218223;3,031669086
13;N;25;alu;0;10;0,148;209,0511837;2,895780451
13;N;25;alu;m10;1;0,156;191,7680727;2,45116836
13;N;25;alu;m10;2;0,112;166,21869;2,138349739
13;N;25;alu;m10;3;0,14;179,7550602;2,374441543
13;N;25;alu;m10;4;0,16;178,9201663;2,237265147
13;N;25;alu;m10;5;0,172;173,3155846;2,264621864
13;N;25;alu;m10;6;0,168;163,3652091;2,297861313
13;N;25;alu;m10;7;0,168;171,1090119;2,182545083
13;N;25;alu;m10;8;0,116;158,830698;2,069912702
13;N;25;alu;m10;9;0,14;171,4173458;2,229867898
13;N;25;alu;m10;10;0,116;171,0278096;2,144798705
13;N;25;alu;p10;1;0,184;156,71238;2,345184228
13;N;25;alu;p10;2;0,088;210,0818122;3,230252653
13;N;25;alu;p10;3;0,172;249,7789035;3,578744079
13;N;25;alu;p10;4;0,112;209,1825361;3,184868239
13;N;25;alu;p10;5;0,112;190,8924866;2,762143537
13;N;25;alu;p10;6;0,104;194,5254331;3,279667758
13;N;25;alu;p10;7;0,072;172,7411277;2,913179171
13;N;25;alu;p10;8;0,084;172,3535754;2,360215971
13;N;25;alu;p10;9;0,18;218,3886666;2,848222066
13;N;25;alu;p10;10;0,128;211,5419801;2,94618294
13;N;25;balsa;0;1;0,06;91,26222501;0,601545206
13;N;25;balsa;0;2;0,06;102,3835832;1,089813962
13;N;25;balsa;0;3;0,068;115,8239949;1,553939003
13;N;25;balsa;0;4;0,072;120,4150483;1,863390621
13;N;25;balsa;0;5;0,1;145,7593436;2,32641101
13;N;25;balsa;0;6;0,1;200,5481713;3,625168316
13;N;25;balsa;0;7;0,108;243,2821534;3,88899092
13;N;25;balsa;0;8;0,1;240,0619264;4,095755268
13;N;25;balsa;0;9;0,104;224,1865963;4,330574148
13;N;25;balsa;0;10;0,108;227,4217268;4,03494354
13;N;25;balsa;m10;1;0,128;177,7729392;2,469051476
