Sujet;ST_M;Target;Material;Slope;Trial;Duration;Amplitude;Impact_Speed
11;P;25;alu;0;1;0,12;160,4588129;1,406868952
11;P;25;alu;0;2;0,096;175,9993637;2,311992114
11;P;25;alu;0;3;0,108;186,0129076;2,178684921
11;P;25;alu;0;4;0,112;180,9626293;2,033671394
11;P;25;alu;0;5;0,124;201,2164498;2,389174377
11;P;25;alu;0;6;0,116;207,3828974;2,83431056
11;P;25;alu;0;7;0,104;170,0119426;1,948548211
11;P;25;alu;0;8;0,12;163,567097;2,031487236
11;P;25;alu;0;9;0,116;177,3146958;2,517007092
11;P;25;alu;0;10;0,084;145,180383;1,795993774
11;P;25;alu;m10;1;0,116;149,8633461;2,065121095
11;P;25;alu;m10;2;0,092;153,7794816;2,243819093
11;P;25;alu;m10;3;0,08;148,648068;2,170759936
11;P;25;alu;m10;4;0,084;143,4482093;2,237935362
11;P;25;alu;m10;5;0,092;157,2261683;2,356001117
11;P;25;alu;m10;6;0,088;157,5492599;2,262116599
11;P;25;alu;m10;7;0,084;153,2743568;2,2842655
11;P;25;alu;m10;8;0,088;141,7014803;1,790489827
11;P;25;alu;m10;9;0,092;152,8327111;2,142887031
11;P;25;alu;m10;10;0,084;163,3404044;2,607141991
11;P;25;alu;p10;1;0,132;182,565005;1,751227339
11;P;25;alu;p10;2;0,12;170,2924809;1,962710369
11;P;25;alu;p10;3;0,1;169,1419533;1,855569072
11;P;25;alu;p10;4;0,096;177,1877261;2,235465765
11;P;25;alu;p10;5;0,088;138,6847819;1,679814644
11;P;25;alu;p10;6;0,088;144,192438;1,571873339
11;P;25;alu;p10;7;0,116;162,1524803;1,700274547
11;P;25;alu;p10;8;0,108;171,85713;2,086857751
11;P;25;alu;p10;9;0,08;112,5345063;1,312003565
11;P;25;alu;p10;10;0,112;142,8219067;1,525348092
11;P;25;balsa;0;1;0,112;202,0885865;2,202933646
11;P;25;balsa;0;2;0,12;253,2266952;3,064066154
11;P;25;balsa;0;3;0,18;314,2429921;3,091650829
11;P;25;balsa;0;4;0,188;250,0189789;2,487507749
11;P;25;balsa;0;5;0,128;266,5759682;2,851731418
11;P;25;balsa;0;6;0,104;245,2165484;2,549429645
11;P;25;balsa;0;7;0,156;184,6798;2,28185803
11;P;25;balsa;0;8;0,156;200,786577;1,978325526
11;P;25;balsa;0;9;0,088;169,6018254;2,153224216
11;P;25;balsa;0;10;0,092;170,8602361;1,644418169
11;P;25;balsa;m10;1;0,204;196,437807;2,103803279
11;P;25;balsa;m10;2;0,092;185,4572576;2,768033318
11;P;25;balsa;m10;3;0,1;185,5462147;2,619245182
11;P;25;balsa;m10;4;0,08;184,8819526;2,999946794
11;P;25;balsa;m10;5;0,096;192,0516612;3,033888887
11;P;25;balsa;m10;6;0,084;165,5178608;2,617990243
11;P;25;balsa;m10;7;0,088;175,2831065;2,636437393
11;P;25;balsa;m10;8;0,092;191,1297618;2,95429935
11;P;25;balsa;m10;9;0,096;181,3026467;2,913324161
11;P;25;balsa;m10;10;0,072;165,3578864;2,817052906
11;P;25;balsa;p10;1;0,132;189,603968;1,762411065
11;P;25;balsa;p10;2;0,096;169,8077621;1,998289925
11;P;25;balsa;p10;3;0,084;167,0047318;2,279277904
11;P;25;balsa;p10;4;0,112;173,2039958;1,992979993
11;P;25;balsa;p10;5;0,104;186,3034222;2,102154938
11;P;25;balsa;p10;6;0,096;197,253114;2,610357581
11;P;25;balsa;p10;7;0,088;189,5520317;2,492028544
11;P;25;balsa;p10;8;0,096;186,3299041;1,899439546
11;P;25;balsa;p10;9;0,112;171,6844625;2,161465006
11;P;25;balsa;p10;10;0,128;191,222689;2,286029023
11;P;50;alu;0;1;0,124;222,195558;3,527488536
11;P;50;alu;0;2;0,096;204,09538;3,416996894
11;P;50;alu;0;3;0,076;186,4292648;3,298649008
11;P;50;alu;0;4;0,088;181,4034164;2,843653098
11;P;50;alu;0;5;0,084;162,0881471;2,537131267
11;P;50;alu;0;6;0,088;165,7145843;2,603113642
11;P;50;alu;0;7;0,096;190,5526062;2,884547126
11;P;50;alu;0;8;0,08;168,9635289;2,946440895
11;P;50;alu;0;9;0,084;170,2318106;2,860667648
11;P;50;alu;0;10;0,1;187,1470114;2,993999992
11;P;50;alu;m10;1;0,088;162,3246416;2,423288752
11;P;50;alu;m10;2;0,108;164,397797;2,36129001
11;P;50;alu;m10;3;0,096;154,747649;2,228087173
11;P;50;alu;m10;4;0,1;162,1034647;1,713798355
11;P;50;alu;m10;5;0,092;162,8512058;2,257243444
11;P;50;alu;m10;6;0,096;154,2014513;2,087125105
11;P;50;alu;m10;7;0,092;151,9577101;2,137780115
11;P;50;alu;m10;8;0,1;148,6045761;1,560600551
11;P;50;alu;m10;9;0,096;161,4203619;2,067567547
11;P;50;alu;m10;10;0,076;140,3405688;2,177449747
11;P;50;alu;p10;1;0,116;220,2631666;3,200747767
11;P;50;alu;p10;2;0,088;158,0335458;2,828068255
11;P;50;alu;p10;3;0,108;204,8020324;3,667083192
11;P;50;alu;p10;4;0,14;218,4741597;3,214287786
11;P;50;alu;p10;5;0,088;199,4887892;3,472673104
11;P;50;alu;p10;6;0,096;192,4846853;3,115716563
11;P;50;alu;p10;7;0,096;208,5484183;2,809951726
11;P;50;alu;p10;8;0,088;184,4050042;3,120264117
11;P;50;alu;p10;9;0,1;241,9646624;3,404334617
11;P;50;alu;p10;10;0,108;176,6073608;2,555076322
11;P;50;balsa;0;1;0,136;197,4675081;2,4490093
11;P;50;balsa;0;2;0,092;212,487523;3,470741215
11;P;50;balsa;0;3;0,096;201,8688351;2,375793942
11;P;50;balsa;0;4;0,112;245,2514333;2,129329977
11;P;50;balsa;0;5;0,12;237,8878392;2,704298638
11;P;50;balsa;0;6;0,128;239,6718634;3,022400616
11;P;50;balsa;0;7;0,112;234,3900074;2,990863566
11;P;50;balsa;0;8;0,12;226,9217337;2,950988838
11;P;50;balsa;0;9;0,124;267,4162194;3,072509835
11;P;50;balsa;0;10;0,124;254,9982194;2,675915124
11;P;50;balsa;m10;1;0,112;259,2973505;3,368221448
11;P;50;balsa;m10;2;0,164;298,461955;3,354115781
11;P;50;balsa;m10;3;0,188;282,1267787;3,043651056
11;P;50;balsa;m10;4;0,176;300,9147101;3,597333495
11;P;50;balsa;m10;5;0,112;232,3540129;3,198145965
11;P;50;balsa;m10;6;0,112;258,5616245;3,541889849
11;P;50;balsa;m10;7;0,132;275,0424498;3,931560093
11;P;50;balsa;m10;8;0,16;300,6242088;3,489982542
11;P;50;balsa;m10;9;0,208;256,9277988;3,279596643
11;P;50;balsa;m10;10;0,112;256,7602745;3,913210719
11;P;50;balsa;p10;1;0,1;215,2916493;2,87689871
11;P;50;balsa;p10;2;0,116;186,159559;2,398561525
11;P;50;balsa;p10;3;0,1;182,7625707;2,676496819
11;P;50;balsa;p10;4;0,128;174,6541319;2,227628392
11;P;50;balsa;p10;5;0,1;172,9995291;3,043929504
11;P;50;balsa;p10;6;0,092;192,17357;2,674515538
11;P;50;balsa;p10;7;0,108;193,9686545;2,406823974
11;P;50;balsa;p10;8;0,12;187,8904791;2,742129817
11;P;50;balsa;p10;9;0,092;173,9368944;2,45787057
11;P;50;balsa;p10;10;0,092;173,9197596;2,429538382
12;P;25;alu;0;1;0,272;173,89265;1,562678435
12;P;25;alu;0;2;0,172;168,6375797;1,479722919
12;P;25;alu;0;3;0,132;159,22896;1,5358149
12;P;25;alu;0;4;0,16;156,5169876;1,589782387
12;P;25;alu;0;5;0,148;142,0859599;1,26380804
12;P;25;alu;0;6;0,188;153,6569013;1,371450087
12;P;25;alu;0;7;0,144;147,59441;1,334558213
